Wavelength,A,B,C,D,E,F,G,H,I,J,K,L
413.0299988,1.255613446,1.796102285,0.133362502,0.230163902,0.421405852,0.416138351,6.433710098,55.75786209,0.592089117,0.475783348,4.723014355,2.777281284
413.9299927,1.20212853,1.875178695,0.137770876,0.198471353,0.44175747,0.429836631,6.415894508,61.06506729,0.549437404,0.582417667,5.277681351,2.766369343
415,1.167113543,1.580067515,0.043490574,0.214366034,0.411118865,0.416702896,7.000637054,65.00662994,0.37281242,0.489519566,5.122532368,2.75489974
416.0599976,1.274847388,1.623597026,0.231259853,0.355869383,0.27558437,0.546521306,7.135948181,69.10404205,0.293318182,0.562873423,5.821605682,3.069700956
416.9599915,0.983659089,1.646431208,0.090896927,0.168120995,0.553411782,0.231617242,7.789429665,73.83078003,0.629019201,0.597148836,6.002693176,3.221929073
418.0299988,1.183010817,1.593023181,0.124509163,0.2414812,0.365678161,0.261090338,7.94257021,78.85570526,0.362098128,0.67593199,6.142035484,3.172179222
418.9299927,1.029689908,1.766810775,0.029627701,0.214272901,0.456234187,0.514214516,8.503605843,83.69262695,0.449380964,0.674777806,6.460574627,2.938296556
420,1.235282302,1.413161278,0.154383257,0.213666484,0.414877325,0.244055644,8.942617416,87.5256958,0.345624209,0.467987418,6.726742268,2.902024746
421.0700073,1.316201448,1.923829675,0.078679934,0.092021927,0.320385397,0.258828849,9.468132973,94.53356934,0.634871841,0.397645474,6.873006821,3.29960084
422,1.267187238,1.515952468,-0.048271332,0.015109147,0.541334629,0.30674091,9.829045296,97.74236298,0.460796982,0.708040953,7.216600418,3.543071985
423.0700073,1.238065243,1.452285647,0.136397779,0.183760077,0.69434154,0.280712873,10.28843689,103.2685623,0.297223091,0.676290572,7.229616165,3.307849407
424,1.078251243,1.492902994,0.261718988,0.319840431,0.652960658,0.493051797,11.18254852,109.7651901,0.543496728,0.578918874,7.80327177,2.98480463
425.0700073,1.265171528,1.372341633,0.15139544,0.211826906,0.513239443,0.290821374,11.22589684,115.6224594,0.437203586,0.823245287,8.076041222,3.102073193
426,1.009243131,1.378721118,0.321704596,0.073322222,0.552629888,0.238149539,11.98676586,119.8336868,0.359724611,0.578583896,8.3171978,3.150742769
427.0700073,1.075761676,1.50930357,0.336325407,0.402296394,0.213560537,0.447486103,12.80452538,127.3433151,0.343251437,0.502582908,8.76365757,3.31504631
428,1.303365827,1.316142559,-0.017728537,0.075083949,0.409847051,0.382552028,12.58544636,131.5249176,0.313175231,0.618400872,8.71452713,3.139879942
429.0700073,0.96745652,1.35709691,0.214609474,0.264908999,0.486776114,0.399885565,13.36015129,139.0158386,0.411335021,0.743885577,9.298192978,3.345714331
430,0.901984572,1.490639806,0.16849345,-0.035129409,0.287232578,0.277575493,13.62423992,143.3786316,0.39803654,0.851113975,9.66283989,3.543172836
431.0599976,1.119119048,1.499374509,0.246200725,0.27722317,0.261292607,0.30727306,13.91379166,149.7888947,0.505964816,0.650750876,9.919913292,3.436599731
431.9599915,1.102089524,1.501774073,0.015336339,0.091400042,0.197964132,0.398179501,14.69621468,155.6684875,0.343525887,0.743983507,10.74735832,3.481663942
433.0299988,0.930204928,1.301881313,0.32170096,0.43191126,0.344789177,0.353597224,15.6482935,162.1343231,0.358209372,0.556009054,10.87210369,3.234023094
433.9299927,1.060778499,1.296508193,0.13691923,0.336263835,0.400332928,0.298319817,15.815732,168.969696,0.435784042,0.710354924,10.95769882,3.433173895
435,0.886633039,1.310183764,-0.062723532,-0.064797185,0.200555116,0.416136324,16.29532433,174.5469666,0.581150055,0.681343079,11.36893177,3.383707762
436.0599976,0.975555182,1.459006071,0.153464928,0.118935511,0.305144846,0.275367886,16.84711838,179.9705048,0.187926203,0.840090334,12.20085335,3.484759092
436.9599915,1.131282806,1.215752363,0.137297705,0.090016276,0.123470105,0.417740315,17.22305107,185.5064392,0.45091328,0.855397403,12.90828609,3.819528103
438.0299988,1.099872947,1.461325526,0.107113533,0.182495892,0.339317441,0.294231981,17.9124012,192.7419281,0.356028944,0.682688117,12.52905941,3.581861019
438.9299927,1.139210463,1.396425724,0.121272214,0.122453682,0.260874987,0.185494289,18.79629707,198.8935242,0.326775074,0.754015207,12.59931087,3.502339363
440,1.171345115,1.3653934,0.028475076,-0.00127698,0.280246973,0.243337631,19.13654518,202.8515778,0.525896907,0.866022527,13.54845715,3.821929693
441.0599976,0.870357454,1.313883662,0.311284483,0.262898266,0.341587067,0.389101833,19.47357368,211.5164185,0.374834836,0.611722648,14.15844345,4.012284756
441.9599915,0.936184347,1.191571712,-0.017196288,0.258622766,-0.017114325,0.303641796,20.52314186,216.8708801,0.167630374,0.965399325,14.1010828,4.147464752
443.0299988,0.87831229,1.306576133,0.169626296,0.198535532,0.352992564,0.322706848,20.78378868,225.1436157,0.32791552,0.798297048,14.91012001,4.070538044
