proteinID,LFQ.intensity.A1,LFQ.intensity.A2,LFQ.intensity.A3,LFQ.intensity.C1,LFQ.intensity.C2,LFQ.intensity.C3,impute_LFQ.intensity.A1,impute_LFQ.intensity.A2,impute_LFQ.intensity.A3,impute_LFQ.intensity.C1,impute_LFQ.intensity.C2,impute_LFQ.intensity.C3,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
P17742,26.559306714740377,26.513958978053637,26.59348914845926,27.410135974903625,27.610767139891095,27.5986801113992,26.559306714740377,26.513958978053637,26.59348914845926,27.410135974903625,27.610767139891095,27.5986801113992,1.3963181279788228e-4,3.8550156236285655,0.9842761283135495,14.28156650570282,1.3963181279788228e-4,3,Ppia
P18760,24.61532115853239,24.300476572355947,24.602748695992208,25.92730180728529,26.07285829353163,26.097138882638312,24.61532115853239,24.300476572355947,24.602748695992208,25.92730180728529,26.07285829353163,26.097138882638312,1.9126970666547344e-4,3.7183538081734953,1.5262508521915628,13.182763828496933,1.9126970666547344e-4,4,Cfl1
P19157,22.30632986397448,22.22729159386414,22.60168375060847,23.26298716715899,23.47901839846814,23.324023385088218,22.30632986397448,22.22729159386414,22.60168375060847,23.26298716715899,23.47901839846814,23.324023385088218,0.0017189739141792917,2.7647307137806316,0.9769079140894164,7.467341404014838,0.0017189739141792917,3,Gstp1
P21107,21.408209477993694,21.702355337959457,21.750950637616025,23.616387306877396,23.382054029185294,23.601729083450806,21.408209477993694,21.702355337959457,21.750950637616025,23.616387306877396,23.382054029185294,23.601729083450806,1.2863163945055198e-4,3.8906521951074926,1.9128849886481056,14.58234122241865,1.2863163945055198e-4,1,Tpm3
P21126,NA,NA,18.810395906032397,21.582562838662227,21.65298497931398,21.54778509551583,17.043382269830857,16.909509169616193,18.810395906032397,21.582562838662227,21.65298497931398,21.54778509551583,0.0028365198506615104,2.5472141727893582,4.0066818560041995,6.532794888360982,0.0028365198506615104,2,Ubl4a
P25322,NA,17.484083361295564,17.86145044260835,19.738164846556167,18.891872682487534,19.275010504204875,17.333935885606984,17.484083361295564,17.86145044260835,19.738164846556167,18.891872682487534,19.275010504204875,0.003899913875318315,2.4089449837137606,1.7418594479125602,5.992693349181518,0.003899913875318315,14,Ccnd1
P26645,17.13280092905357,17.489659835990608,17.943636592633265,20.000445710174482,20.02837015117334,20.21927725556959,17.13280092905357,17.489659835990608,17.943636592633265,20.000445710174482,20.02837015117334,20.21927725556959,4.6976721617305293e-4,3.3281172947783744,2.560665253079989,10.473235489582564,4.6976721617305293e-4,1,Marcks
P26883,21.671805369817108,21.85779576385238,21.881775669634393,22.51588171116022,22.82139252153378,22.743245097331872,21.671805369817108,21.85779576385238,21.881775669634393,22.51588171116022,22.82139252153378,22.743245097331872,0.0014129264603531028,2.8498804416149808,0.8897141755739959,7.864156496422957,0.0014129264603531028,1,Fkbp1a
P27546,16.803979723921273,16.1930055085514,16.90806418636785,19.947636937951827,19.17857246235152,20.386481417704328,16.803979723921273,16.1930055085514,16.90806418636785,19.947636937951827,19.17857246235152,20.386481417704328,0.0015537765701051254,2.8086114317042,3.2025471330557167,7.669539457810791,0.0015537765701051254,10,Map4
P28063,NA,NA,NA,19.57612631536213,19.440483954235944,19.84366654092858,17.552665899013363,17.025193823956624,16.0839233114674,19.57612631536213,19.440483954235944,19.84366654092858,0.0035821880280599264,2.4458516218913178,2.7328312586964216,6.133022456275472,0.0035821880280599264,5,Psmb8
P28658,NA,NA,NA,19.24968291293395,19.375005481986616,19.340171748667544,16.110585307177978,16.495905952758115,16.420522370843297,19.24968291293395,19.375005481986616,19.340171748667544,1.76145633175927e-5,4.754128118938067,2.979282170936237,24.08943522153091,1.76145633175927e-5,11,Atxn10
P28667,NA,NA,NA,19.570967454950743,18.405448973897347,19.935746330113282,16.76033085541664,16.271487434847728,16.819786288043638,19.570967454950743,18.405448973897347,19.935746330113282,0.005510003819230721,2.258848100119131,2.6868527268844566,5.449034463619382,0.005510003819230721,1,Marcksl1
