proteinID,P11,P12,P13,P2a1,P2a2,P2a3,P2b1,P2b2,P2b3,P31,P32,P33,P1,P2a,P2b,P3,group
O35955,26.207042497108404,27.47946562383327,28.21558291406218,25.862882065145484,26.43392133553816,28.38071721469961,26.243635615566763,28.29021977021706,28.660815421194226,29.02699196655647,29.19760546331949,28.807502180828887,27.30069701166795,26.89250687179442,27.731556935659352,29.010699870234948,high3
O54692,28.477884292141447,29.787464857075538,29.819809526823295,28.670910398097373,29.066431225968987,29.23865550695927,29.234390245753563,27.32259729613436,29.056697864185878,28.06306545415386,28.636233076134985,28.815647485839424,29.361719558680093,28.991999043675207,28.53789513535793,28.50498200537609,high1
O54946,30.198355110019076,30.20314831540675,29.793864970475152,30.11495583057305,30.154604907226048,30.377307685676932,29.69240492552595,30.359928742028465,30.656679158664776,31.463193707746797,30.436486844320935,30.536862877161454,30.065122798633663,30.215622807825344,30.23633760873973,30.812181143076398,high3
O54950,25.79590577743248,24.59665997371418,26.112731398532006,27.194321171261986,25.546793127342205,25.844507842412145,26.48503659490144,27.890005284510618,27.366697066875485,26.826143842499455,27.586490960505103,27.71901409410059,25.501765716559557,26.195207380338775,27.24724631542918,27.37721629903505,high3
O54984,25.719965745390216,27.283037893591253,28.087702221239613,25.57652620708084,27.452069393872037,27.596833416037605,28.245313254802085,28.081671238860977,27.2654394978209,28.861448312777792,28.410216863863354,28.659557073935304,27.03023528674036,26.875143005663492,27.864141330494657,28.64374075019215,high3
O55003,25.6620540314585,24.897993867152458,28.540968959330602,28.66688765025367,24.77329480740813,28.632147001473438,26.039102761760308,28.068047087673346,28.98217909602761,29.090430675532627,27.382697239084372,28.159040115683457,26.367005619313854,27.357443153045082,27.69644298182042,28.210722676766817,high3
O55029,28.90066724249294,28.971063424579754,29.156510824914427,28.868265392636903,25.357279824531524,28.124157290890818,28.545468510361143,28.7351185224829,28.5933110445566,25.877945152619656,29.16132470695931,28.464781479488085,29.00941383066238,27.44990083601975,28.62463269246688,27.834683779689016,high1
O55125,31.404919181520306,31.569732934226874,31.476870943296085,31.05549595749679,31.11861128366407,31.43524526087722,31.286534161374497,31.567422701003707,31.622657755560706,32.073100987626056,32.2441963083374,32.17813104632306,31.48384101968109,31.203117500679358,31.4922048726463,32.165142780762174,high3
O55131,28.383603842870368,25.474748825113323,29.15441176243148,25.369847771465345,25.573182568688907,26.276915138985206,29.229218552068165,25.998899048673096,29.030048134260888,30.164349225972476,29.174932995017834,30.044008076105726,27.67092147680506,25.739981826379818,28.08605524500071,29.794430099032013,high3
O55143,32.005174609899115,31.946669958259058,32.02739411703121,31.45140136123736,31.76113275778214,31.6250555268235,31.35284447461473,30.992399578493302,31.22705054301954,30.991521348711245,31.403853244419878,31.283115189797485,31.993079561729797,31.612529881947665,31.190764865375858,31.226163260976204,high1
O55201,27.980000949556814,27.81915476340104,27.310773629284785,27.245811916072732,26.32474448367298,26.676805901453925,26.972899176144796,28.0792314200093,25.913709713337195,26.87466941689497,27.36310795994422,25.431357532933582,27.703309780747546,26.749120767066547,26.9886134364971,26.55637830325759,high1
