proteinID,P11,P12,P13,P2a1,P2a2,P2a3,P2b1,P2b2,P2b3,P31,P32,P33,P1,P2a,P2b,P3,group
P00416,26.637684653569025,26.716465104532492,25.98659064538635,25.094141167744905,26.01490960405179,25.573779148575966,26.532120815022623,26.1942272243964,25.623158565014492,25.47589939047576,25.40982855548826,25.38755327855017,26.44691346782929,25.560943306790886,26.11650220147784,25.424427074838064,high1
P05063,25.00893976413435,25.49390259032258,25.90182404369112,22.914297067824943,25.184234001774424,25.13672645324427,24.694183148078732,25.213007185129083,25.720723966692134,24.342452346519753,24.957837477514726,25.315618376119335,25.46822213271602,24.411752507614548,25.209304766633313,24.87196940005127,high1
P07214,27.69895853138989,27.34545032265318,27.68972514532755,27.125340312720855,26.793399900021786,26.60342803757165,26.879234726120185,26.57359137194955,26.907244607121502,26.88669535058554,24.635438143909315,26.278277307994493,27.578044666456872,26.840722750104764,26.786690235063745,25.93347026749645,high1
P0DP28,29.8422112997938,29.797394615008987,30.78238049148618,30.775803557082924,29.22467231275956,30.76335082658853,29.269279661452465,29.472394048719558,29.448017153327008,29.090329713634627,28.622474489144878,29.198472207137023,30.140662135429654,30.254608898810336,29.396563621166347,28.970425469972174,high1
P12787,29.94907297043359,29.943774065234972,30.489032270922,30.69527890371214,29.526993904684524,30.6670399752093,29.246333059540394,29.311055242768436,29.514989869604946,29.488668439968897,29.18151159985566,29.21803392156489,30.127293102196855,30.29643759453532,29.357459390637928,29.296071320463152,high1
P13011,27.443479317995102,27.046352016574026,26.876778277976662,26.322511342126717,26.256667107091666,26.636578822306,26.784690952148924,26.280155102367264,26.61400141055122,25.901455809623236,25.876192792379207,26.08279826112976,27.122203204181933,26.40525242384146,26.559615821689135,25.953482287710738,high1
P14069,26.88611387661818,27.32079118568007,27.38977009406212,26.92399712925854,27.27914564879989,23.57485003288807,23.533962322295693,27.181487904251018,26.946481727449097,27.20927441820359,24.71518237144786,23.070518598966224,27.198891718786786,25.925997603648835,25.887310651331934,24.998325129539225,high1
P14685,26.05573124816003,26.22204826757548,26.234180078218646,26.249451452153586,25.97773218335577,26.08606266837163,26.638927701405056,26.645676680919344,26.64622622669911,26.64842231889885,27.26338125314338,27.097882317214108,26.17065319798472,26.104415434626997,26.64361020300784,27.003228629752112,high3
P16014,26.135591874503856,25.845319673374807,27.58584656458541,27.04967907493154,26.301959561203194,28.12598071139736,24.560225531271307,25.670606548441583,25.521182267071527,24.844122634557284,23.336371636473263,25.254037573437728,26.522252704154692,27.159206449177365,25.25067144892814,24.478177281489423,high1
P16460,25.66657618028348,25.823862440785142,25.717563683012536,22.971335884551078,24.943466689693665,23.540803035098847,23.24939719331199,25.821674734115316,25.17333249849305,23.380183804192814,25.62463729373146,22.98303955758847,25.736000768027054,23.818535203114532,24.748134808640117,23.995953551837584,high1
P17095,27.05527614583625,26.753661343703705,27.5616536393263,27.56332767961909,26.395370828756697,27.595055515434407,26.18408262910782,25.33983886006441,26.73982489412331,25.90044268104165,24.951759600766053,26.17344687857537,27.123530376288752,27.1845846746034,26.087915461098515,25.675216386794357,high1
P17809,28.1471501029899,28.36877965961073,28.521406945096363,27.414497501694775,27.464898301630008,28.02838912234,28.06131523516413,27.671281683013728,27.866144041869852,27.51284448583785,27.04520656590576,27.497318048693018,28.345778902565666,27.635928308554927,27.86624698668257,27.35178970014554,high1
P21300,26.425632103813374,26.1735612495901,22.906104780149665,25.96188257446873,26.3022036720398,23.117597156188914,26.30119208670408,26.30921292772408,26.49611441247987,26.312903861300654,26.64595147997558,26.387093067769463,25.16843271118438,25.127227800899146,26.36883980896934,26.448649469681897,high3
P24860,25.348881027101754,25.204263664804675,24.588179344147257,26.156033375611827,25.516921747050446,24.991442957605585,24.56877305122647,24.20940457750933,24.308275695731155,23.95189296753674,23.971691670075273,23.153737550098953,25.04710801201789,25.554799360089287,24.362151108155654,23.69244072923699,high1
P26350,26.985331578628163,26.47687287416111,27.413852181005957,28.054085995450773,22.71316827712074,28.20452487725928,23.519963266564698,22.642581416099976,26.998411209665615,23.557067801925907,23.495497661115593,23.011157051064707,26.95868554459841,26.32392638327693,24.38698529744343,23.35457417136874,high1
P26516,28.013824078708122,28.266914257845528,28.301994436708814,28.18503790286198,28.42362202605149,28.16595492341872,28.609957438037497,28.42129613294232,28.64175509633389,28.75436243914061,28.98739326945903,29.001528459783948,28.194244257754153,28.258204950777397,28.55766955577123,28.91442805612786,high3
P28667,27.45967099862657,27.347141344403237,27.942516205589484,28.173408752888843,27.05196198491661,28.238769378464983,26.913649479087912,26.643476402096688,27.119712299059188,27.170641952703082,26.637822822897377,24.2850063471444,27.58310951620643,27.82138003875681,26.892279393414597,26.03115704091495,high1
P32507,23.851650716725157,23.564165129424687,22.962928359245165,23.256307695432234,24.771869272451355,23.313553136371144,23.097322695777137,22.69343404297153,25.45161359336399,25.475682971533647,25.402105434416757,25.886718604670225,23.459581401798335,23.780576701418244,23.747456777370886,25.588169003540212,high3
